POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,503.3244,1450.297,-1086.253,0.0,0.0,0.0,-1287.6251,-16024.0747,607.6876,11768.222,-2033.5536,40.434,0.0,-4068.4218,-1993.1196,-6061.5414
1,513.1176,1427.0236,-1075.0787,0.0,0.0,0.0,-1287.9667,-16141.7701,589.1945,11704.4181,-1872.4613,40.2784,0.0,-4271.061699999998,-1832.1829,-6103.244599999998
2,520.8852,1420.986,-1130.5638,0.0,0.0,0.0,-1314.4921,-16089.9562,616.4765,11716.2119,-1916.0866,40.4569,0.0,-4260.452499999998,-1875.6297000000002,-6136.082199999998
3,499.2832,1405.6762,-1118.2525,0.0,0.0,0.0,-1248.6095,-16204.7558,613.6656,11751.8969,-1878.7459,40.4842,0.0,-4301.0959,-1838.2616999999998,-6139.3576
4,529.4164,1405.8018,-1101.8679,0.0,0.0,0.0,-1252.4008,-16167.7103,611.5318,11766.796,-1930.2848,39.8906,0.0,-4208.432999999999,-1890.3942,-6098.827199999999
5,500.2301,1404.693,-1071.0257,0.0,0.0,0.0,-1268.8528,-16052.0946,600.1204,11724.3778,-2017.3975,41.5472,0.0,-4162.551799999999,-1975.8503,-6138.402099999999
6,495.0722,1433.6869,-1104.916,0.0,0.0,0.0,-1284.4887,-16072.9349,615.1975,11798.4029,-2022.406,40.8429,0.0,-4119.980100000001,-1981.5630999999998,-6101.543200000001
7,492.8387,1428.0127,-1086.2068,0.0,0.0,0.0,-1262.0218,-16051.215,609.8846,11721.2006,-1970.4504,41.2236,0.0,-4147.507,-1929.2268,-6076.733799999999
8,480.1956,1369.8618,-1101.7193,0.0,0.0,0.0,-1241.9788,-16000.421,608.9064,11840.5338,-2145.8433,41.0506,0.0,-4044.621500000003,-2104.7927,-6149.414200000004
9,503.9302,1376.7642,-1128.838,0.0,0.0,0.0,-1240.2919,-15959.0224,610.2981,11737.5461,-2071.912,41.2392,0.0,-4099.613700000002,-2030.6727999999998,-6130.286500000002
10,511.4554,1439.6852,-1093.2312,0.0,0.0,0.0,-1257.1522,-15930.9659,606.8426,11688.2409,-2042.8888,41.1529,0.0,-4035.1251999999986,-2001.7359,-6036.861099999998
11,516.6124,1463.03,-1124.4231,0.0,0.0,0.0,-1269.7085,-16072.7604,612.9225,11714.4733,-1955.849,40.3059,0.0,-4159.853799999999,-1915.5430999999999,-6075.396899999999
12,479.8274,1493.5524,-1112.864,0.0,0.0,0.0,-1270.8824,-16086.9465,613.6063,11774.4685,-1995.0894,40.2238,0.0,-4109.238299999999,-1954.8656,-6064.103899999999
13,507.287,1393.9694,-1133.1275,0.0,0.0,0.0,-1270.3809,-15988.6899,622.9412,11805.5995,-2078.2653,39.8205,0.0,-4062.4011999999984,-2038.4448,-6100.845999999999
14,511.275,1470.0533,-1111.7927,0.0,0.0,0.0,-1269.1524,-16109.5801,603.5878,11760.6585,-1955.3619,40.5192,0.0,-4144.9506,-1914.8427000000001,-6059.7933
15,496.9491,1418.5258,-1088.0147,0.0,0.0,0.0,-1255.8657,-15942.1621,621.2294,11745.3401,-2102.6359,40.5716,0.0,-4003.9981000000007,-2062.0643,-6066.062400000001
16,510.4634,1414.6759,-1104.4156,0.0,0.0,0.0,-1249.8231,-16139.2729,601.2599,11751.9025,-1930.2402,40.7268,0.0,-4215.209899999998,-1889.5134,-6104.723299999998
17,469.3225,1338.2477,-1116.207,0.0,0.0,0.0,-1270.9931,-16081.3316,634.9043,11786.5205,-1989.8775,40.4064,0.0,-4239.536700000001,-1949.4711,-6189.007800000001
18,509.1056,1406.4155,-1088.5284,0.0,0.0,0.0,-1255.8184,-15974.5554,596.7402,11743.2164,-2058.451,41.4629,0.0,-4063.424499999999,-2016.9881,-6080.412599999999
19,524.2655,1404.7311,-1118.3687,0.0,0.0,0.0,-1266.423,-15927.3907,615.8176,11773.9804,-2117.9285,41.943,0.0,-3993.3877999999986,-2075.9855,-6069.373299999998
20,503.3355,1431.5049,-1101.9491,0.0,0.0,0.0,-1274.8497,-16041.6079,612.4899,11768.0852,-2047.8773,41.0771,0.0,-4102.991200000002,-2006.8002000000001,-6109.791400000002
21,524.1559,1430.4558,-1070.5061,0.0,0.0,0.0,-1275.6085,-16022.8724,620.7428,11751.9521,-2040.2235,40.0246,0.0,-4041.6803999999993,-2000.1989,-6041.8793
22,516.2706,1449.168,-1077.1649,0.0,0.0,0.0,-1256.3946,-16062.1474,610.5889,11752.9796,-2009.1225,40.6542,0.0,-4066.6997999999985,-1968.4683,-6035.168099999998
23,513.5463,1439.1707,-1095.199,0.0,0.0,0.0,-1270.96,-15984.0618,613.5834,11792.1472,-2078.0657,39.8917,0.0,-3991.7731999999996,-2038.1740000000002,-6029.9472
24,486.8334,1442.9717,-1110.6101,0.0,0.0,0.0,-1260.3234,-16012.0438,619.4651,11815.4447,-2093.8862,39.9913,0.0,-4018.2624000000014,-2053.8949,-6072.157300000002
25,517.5471,1400.282,-1100.9811,0.0,0.0,0.0,-1260.4478,-16113.4407,612.056,11792.5441,-2011.6266,40.2438,0.0,-4152.4403999999995,-1971.3828,-6123.823199999999
26,501.7131,1421.8853,-1077.7494,0.0,0.0,0.0,-1296.5331,-15935.1631,602.3335,11744.1147,-2117.1905,40.7904,0.0,-4039.3989999999994,-2076.4001000000003,-6115.7991
27,500.4133,1401.372,-1084.9145,0.0,0.0,0.0,-1295.3828,-16161.1696,606.6892,11778.4913,-1927.6693,40.5497,0.0,-4254.5010999999995,-1887.1196,-6141.6206999999995
28,499.3638,1423.8186,-1095.9701,0.0,0.0,0.0,-1261.8922,-16085.2444,596.3127,11754.403,-2002.6885,40.65,0.0,-4169.208599999998,-1962.0384999999999,-6131.247099999999
29,517.4468,1408.8224,-1078.8096,0.0,0.0,0.0,-1298.4849,-15978.4679,609.4368,11747.5132,-2049.6604,40.4884,0.0,-4072.543200000002,-2009.1720000000003,-6081.715200000002
30,505.1786,1426.5644,-1094.8348,0.0,0.0,0.0,-1267.5329,-16149.3036,628.7936,11757.1581,-1923.2297,40.0695,0.0,-4193.976599999998,-1883.1602,-6077.136799999998
31,528.3082,1411.1789,-1098.0337,0.0,0.0,0.0,-1259.4867,-16137.3743,602.0607,11726.8634,-1921.1732,40.9256,0.0,-4226.4834999999985,-1880.2476,-6106.731099999999
32,489.3326,1422.3516,-1127.5667,0.0,0.0,0.0,-1289.0006,-16135.3182,594.214,11782.6582,-1947.1662,40.3625,0.0,-4263.329100000001,-1906.8037,-6170.1328
33,512.3216,1421.9755,-1093.2629,0.0,0.0,0.0,-1254.9089,-16206.4106,629.3762,11763.3597,-1910.3939,40.8059,0.0,-4227.549399999998,-1869.588,-6097.137399999998
34,508.4002,1416.546,-1124.0508,0.0,0.0,0.0,-1263.844,-16191.4887,619.7366,11812.5759,-1924.3405,41.1239,0.0,-4222.124800000001,-1883.2166,-6105.341400000002
35,491.0885,1419.4336,-1100.5897,0.0,0.0,0.0,-1264.9087,-16213.2483,627.546,11763.4983,-1886.6012,40.5958,0.0,-4277.180299999998,-1846.0054,-6123.185699999998
36,482.0922,1425.186,-1109.1875,0.0,0.0,0.0,-1260.9061,-16123.5682,609.0339,11748.4919,-1911.7523,40.9424,0.0,-4228.8578,-1870.8099000000002,-6099.6677
37,553.3414,1413.8651,-1099.8728,0.0,0.0,0.0,-1262.6492,-16163.4858,606.902,11757.6062,-1879.2848,40.7926,0.0,-4194.293099999999,-1838.4922,-6032.785299999999
