GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
0,496.5407,1377.1833,-1101.8282,0.0,0.0,0.0,-1276.5755,-15896.7344,598.3003,11533.3458,-1973.59,55.969262640000004,11.1968,-4269.767999999998,-1917.62073736,-6176.1919373599985
1,504.2581,1405.2295,-1106.3527,0.0,0.0,0.0,-1281.375,-15894.471,586.5058,11511.963,-1976.4731,56.43746928,10.0724,-4274.2423,-1920.03563072,-6184.20553072
2,541.1254,1390.6833,-1108.7455,0.0,0.0,0.0,-1286.8102,-15870.6006,583.8719,11457.0852,-1948.1528,55.71028584,1.4232,-4293.3904999999995,-1892.44251416,-6184.409814159999
3,496.2652,1395.4961,-1082.1763,0.0,0.0,0.0,-1295.4446,-15947.0208,606.6023,11548.1194,-1956.998,56.16180936,8.4204,-4278.158700000002,-1900.83619064,-6170.574490640001
4,538.4076,1499.0332,-1076.0818,0.0,0.0,0.0,-1263.7231,-15892.1208,605.8223,11490.1151,-2026.6077,56.361492,-1.6713,-4098.547499999999,-1970.246208,-6070.465007999999
5,494.4436,1425.8509,-1116.3817,0.0,0.0,0.0,-1266.6122,-15966.8015,603.7572,11589.8424,-1993.9839,56.952775439999996,9.3846,-4235.9012999999995,-1937.0311245599999,-6163.54782456
6,515.7814,1396.0225,-1087.2163,0.0,0.0,0.0,-1273.0996,-15891.8656,594.8261,11577.4699,-2050.518,57.18453768,16.0771,-4168.0815999999995,-1993.33346232,-6145.337962319999
7,491.9611,1405.4024,-1096.9536,0.0,0.0,0.0,-1290.6392,-15813.3994,615.5734,11534.9525,-2040.3623,57.63708072,5.0664,-4153.102800000002,-1982.72521928,-6130.761619280002
8,519.1954,1392.0005,-1113.3452,0.0,0.0,0.0,-1307.3209,-16023.2275,592.623,11550.5422,-1857.0048,55.786173840000004,-1.5035,-4389.532500000001,-1801.21862616,-6192.254626160001
9,512.3093,1400.7744,-1088.4101,0.0,0.0,0.0,-1303.965,-15886.5759,619.0847,11531.8843,-1984.976,55.60684344,7.2642,-4214.898300000001,-1929.3691565600002,-6137.003256560001
10,489.7323,1449.8462,-1064.0491,0.0,0.0,0.0,-1284.1008,-16096.0087,613.1606,11560.8158,-1861.3012,55.377629999999996,8.7738,-4330.6037,-1805.9235700000002,-6127.75347
11,473.9974,1421.9246,-1072.8798,0.0,0.0,0.0,-1267.8822,-16047.8421,618.2662,11520.8079,-1861.6459,55.17656784,16.0272,-4353.607999999998,-1806.46933216,-6144.050132159998
12,516.5394,1383.91,-1112.3948,0.0,0.0,0.0,-1283.2227,-16122.5245,607.3344,11579.1519,-1842.9629,55.48846104,14.4541,-4431.206299999998,-1787.47443896,-6204.226638959998
13,523.1093,1396.4964,-1071.7049,0.0,0.0,0.0,-1256.906,-16018.7762,602.962,11574.4231,-1938.3147,56.394843120000004,8.8361,-4250.3963,-1881.91985688,-6123.48005688
14,507.561,1421.5055,-1074.1077,0.0,0.0,0.0,-1284.4545,-15903.9941,599.7422,11568.0117,-2008.8423,58.173402239999994,4.5131,-4165.7359,-1950.66889776,-6111.89169776
15,523.7099,1418.7043,-1094.3559,0.0,0.0,0.0,-1297.0841,-15807.5924,596.4619,11552.0918,-2100.7676,56.92453704,16.3973,-4108.064499999999,-2043.8430629600002,-6135.510262959999
16,509.9275,1430.6213,-1088.2296,0.0,0.0,0.0,-1279.9334,-15999.4118,612.0745,11575.984,-1962.8928,56.9982852,21.1933,-4238.967499999997,-1905.8945148,-6123.668714799996
17,480.2855,1421.4746,-1103.9849,0.0,0.0,0.0,-1270.6028,-16029.1384,607.4428,11574.1315,-1924.8787,57.21809976,9.848,-4320.3917,-1867.66060024,-6178.2043002400005
18,476.3658,1402.1243,-1075.689,0.0,0.0,0.0,-1246.8216,-16125.5338,609.857,11626.4454,-1895.063,55.174624560000005,13.1204,-4333.251899999999,-1839.8883754400001,-6160.01987544
19,517.3256,1430.7649,-1110.4668,0.0,0.0,0.0,-1282.9822,-15888.5725,592.3703,11493.9437,-1979.2869,57.473364239999995,-12.8295,-4247.617,-1921.8135357600001,-6182.26003576
