POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,484.9451,1402.8371,-1042.4019,0.0,0.0,0.0,-1320.9606,-16219.2129,598.2113,11851.0117,-1910.5648,1216.8507,-718.6573,-4245.5702,-1412.3714,-5657.9416
1,492.9762,1408.0724,-1106.1175,0.0,0.0,0.0,-1282.2861,-16208.7627,603.874,11806.2465,-1918.25,1224.4721,-735.4676,-4285.9972,-1429.2455,-5715.2427
2,509.2799,1444.8543,-1067.2501,0.0,0.0,0.0,-1301.3205,-16169.9008,599.4678,11869.0118,-1997.609,1236.1712,-744.0023,-4115.857599999998,-1505.4400999999998,-5621.297699999998
3,470.625,1373.1227,-1077.5627,0.0,0.0,0.0,-1262.8221,-16245.8047,616.0011,11914.6238,-1963.1039,1224.6753,-731.3187,-4211.816900000002,-1469.7473,-5681.564200000002
4,506.1344,1406.1202,-1074.9061,0.0,0.0,0.0,-1310.7617,-16249.8382,599.8655,11810.488,-1861.8623,1225.6203,-734.6373,-4312.897900000002,-1370.8793,-5683.777200000002
5,489.8049,1391.7919,-1075.9592,0.0,0.0,0.0,-1285.4666,-16226.4721,624.4786,11838.4723,-1915.6024,1219.6054,-729.728,-4243.350200000001,-1425.725,-5669.0752
6,484.3857,1415.9504,-1070.5966,0.0,0.0,0.0,-1302.7569,-16310.6167,614.2406,11868.7806,-1887.3186,1219.9881,-731.3806,-4300.6129,-1398.7111,-5699.3240000000005
7,515.1653,1407.9893,-1092.667,0.0,0.0,0.0,-1260.9634,-16255.2784,604.4597,11856.2123,-1883.7854,1233.5488,-734.0752,-4225.082200000001,-1384.3118,-5609.394000000001
8,511.4454,1397.4779,-1055.5874,0.0,0.0,0.0,-1282.4728,-16208.5198,624.6114,11803.8029,-1918.6693,1223.1491,-731.6093,-4209.242399999999,-1427.1295,-5636.371899999998
9,525.5924,1450.7217,-1076.931,0.0,0.0,0.0,-1302.5644,-16175.2247,612.6764,11811.3048,-1952.1785,1220.3141,-733.1688,-4154.424799999999,-1465.0331999999999,-5619.458
10,506.4612,1416.5161,-1096.3482,0.0,0.0,0.0,-1272.3808,-16217.2355,613.0808,11807.2991,-1917.8872,1224.5005,-732.983,-4242.6073,-1426.3696999999997,-5668.977
11,497.0421,1432.3934,-1072.7816,0.0,0.0,0.0,-1304.102,-15996.3316,591.5709,11719.7078,-1997.8965,1228.2616,-725.1395,-4132.500999999998,-1494.7744,-5627.275399999999
12,487.3373,1402.0102,-1097.9015,0.0,0.0,0.0,-1288.8697,-16077.324,606.9097,11728.126,-1916.4835,1230.2744,-731.5396,-4239.7119999999995,-1417.7487,-5657.4607
13,537.099,1457.927,-1105.357,0.0,0.0,0.0,-1281.5109,-16131.4399,610.3664,11744.0505,-1930.7398,1225.5447,-730.6815,-4168.8649000000005,-1435.8766,-5604.741500000001
14,527.4399,1423.4757,-1074.6752,0.0,0.0,0.0,-1277.9609,-16421.2616,603.8996,11803.8355,-1696.7589,1230.3075,-731.4766,-4415.247000000001,-1197.928,-5613.175000000001
15,527.1109,1457.5383,-1096.2678,0.0,0.0,0.0,-1310.6972,-16352.5917,599.2219,11786.7467,-1728.4159,1224.4532,-727.4123,-4388.938900000001,-1231.375,-5620.313900000001
