GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,520.8507,1425.5373,-1089.5377,0.0,0.0,0.0,-1284.843,-16275.9187,612.9129,11836.3522,-2038.5056,55.78263432,-4254.646300000002,-1982.72296568,-6237.369265680002
1,529.4981,1383.224,-1070.1761,0.0,0.0,0.0,-1306.7008,-16354.2992,624.8984,11870.2613,-1954.5352,54.657584639999996,-4323.294299999998,-1899.87761536,-6223.171915359998
2,554.88,1460.9188,-1093.5606,0.0,0.0,0.0,-1289.8605,-16055.3193,587.7364,11708.6312,-2080.8293,54.767172959999996,-4126.573999999999,-2026.06212704,-6152.636127039998
3,542.4929,1452.4318,-1101.3154,0.0,0.0,0.0,-1264.5797,-16240.9161,607.6667,11748.517,-1981.3045,56.82456288,-4255.702800000001,-1924.47993712,-6180.182737120002
4,498.389,1426.5561,-1106.1594,0.0,0.0,0.0,-1298.5187,-16253.2185,609.4435,11857.7932,-1992.0504,55.711676159999996,-4265.714800000003,-1936.33872384,-6202.053523840003
5,506.9815,1359.3924,-1072.5458,0.0,0.0,0.0,-1272.8494,-16410.1457,609.0933,11849.9782,-1898.468,55.47343248,-4430.095500000001,-1842.9945675200001,-6273.090067520001
6,515.0987,1381.0317,-1104.1469,0.0,0.0,0.0,-1271.8246,-16200.2238,614.0293,11806.125,-2037.4684,54.97217784,-4259.910600000001,-1982.49622216,-6242.406822160001
7,518.2334,1415.381,-1094.552,0.0,0.0,0.0,-1264.2212,-16205.0469,604.4965,11824.493,-2060.292,56.21329512,-4201.216199999999,-2004.0787048799998,-6205.294904879998
8,566.8202,1471.0765,-1108.555,0.0,0.0,0.0,-1284.9484,-16189.8564,589.2734,11733.534,-1998.7458,55.79043048,-4222.655700000001,-1942.95536952,-6165.6110695200005
9,548.4258,1406.4668,-1077.5165,0.0,0.0,0.0,-1288.2158,-16339.226,608.2051,11762.3652,-1909.6674,54.973679759999996,-4379.4954,-1854.69372024,-6234.18912024
10,501.8184,1429.9925,-1090.8501,0.0,0.0,0.0,-1280.1518,-16329.8901,606.3433,11804.5574,-1954.1158,55.75982904,-4358.180399999999,-1898.35597096,-6256.536370959999
11,498.4128,1412.2706,-1078.0131,0.0,0.0,0.0,-1277.9868,-16246.7018,618.9549,11838.2977,-2030.5206,56.24968104,-4234.7657,-1974.27091896,-6209.03661896
12,473.4833,1392.5624,-1095.3351,0.0,0.0,0.0,-1291.6837,-16316.9023,617.0992,11818.2972,-1954.7326,56.249678159999995,-4402.478999999999,-1898.48292184,-6300.961921839999
13,522.6497,1459.4184,-1096.2098,0.0,0.0,0.0,-1284.3804,-16093.9245,603.7258,11804.4527,-2128.9928,56.30682096,-4084.2680999999993,-2072.68597904,-6156.95407904
14,496.0539,1387.4713,-1099.0028,0.0,0.0,0.0,-1298.7472,-16169.0696,620.2786,11840.202,-2107.6383,56.88409248,-4222.8138,-2050.75420752,-6273.568007520001
15,516.6918,1434.0789,-1122.6977,0.0,0.0,0.0,-1290.3995,-16186.9267,612.2112,11816.9729,-2052.9282,58.2536664,-4220.069099999999,-1994.6745336,-6214.743633599999
16,525.4773,1388.0969,-1099.9692,0.0,0.0,0.0,-1284.4207,-16172.4537,618.8686,11806.4133,-2066.0278,56.68237152,-4217.987500000001,-2009.3454284799998,-6227.332928480001
17,476.2359,1433.0574,-1093.3063,0.0,0.0,0.0,-1280.2777,-16284.7817,611.3034,11843.8971,-1975.3981,57.2911092,-4293.8719,-1918.1069908000002,-6211.9788908
18,537.925,1456.1802,-1097.1807,0.0,0.0,0.0,-1287.7387,-16277.4321,603.7185,11754.6092,-1915.6828,57.269976480000004,-4309.918599999999,-1858.41282352,-6168.33142352
19,497.0618,1407.8786,-1078.5782,0.0,0.0,0.0,-1287.1689,-16182.2966,602.8021,11830.6399,-2082.3283,58.12755984,-4209.661299999998,-2024.2007401600001,-6233.862040159998
20,515.8943,1406.7453,-1086.9127,0.0,0.0,0.0,-1296.7137,-16134.1795,615.647,11811.0829,-2125.1324,57.336635519999994,-4168.4364000000005,-2067.79576448,-6236.232164480001
21,544.7722,1405.0917,-1123.783,0.0,0.0,0.0,-1255.6956,-16087.2173,619.8744,11805.1047,-2176.3229,58.68905832,-4091.8529000000017,-2117.63384168,-6209.486741680002
22,509.8866,1474.7252,-1085.0715,0.0,0.0,0.0,-1264.7497,-15976.2835,627.0349,11780.4409,-2219.3877,58.73611176,-3934.017099999999,-2160.6515882400004,-6094.668688239999
23,518.1448,1423.7221,-1055.3882,0.0,0.0,0.0,-1313.8158,-16125.9002,622.483,11849.7585,-2128.7666,56.0574144,-4080.9958000000006,-2072.7091855999997,-6153.7049856
24,550.3137,1427.7692,-1109.1648,0.0,0.0,0.0,-1281.7816,-16074.0269,614.666,11787.5208,-2160.6115,56.58781536,-4084.7036000000007,-2104.02368464,-6188.727284640001
25,502.4074,1382.8342,-1068.7619,0.0,0.0,0.0,-1279.9052,-15939.9056,608.254,11744.4152,-2228.9109,58.90043736,-4050.661899999999,-2170.01046264,-6220.672362639999
26,523.8749,1435.5483,-1079.1457,0.0,0.0,0.0,-1278.743,-15969.7285,593.9963,11776.8243,-2231.9913,58.354193519999995,-3997.3733999999986,-2173.63710648,-6171.010506479998
27,506.7176,1383.6537,-1092.6369,0.0,0.0,0.0,-1281.8921,-16116.1288,625.0492,11844.9353,-2137.2319,57.50979192,-4130.302000000003,-2079.72210808,-6210.024108080004
28,510.8019,1470.9156,-1069.0367,0.0,0.0,0.0,-1259.5797,-16056.9608,614.7363,11838.7626,-2237.1865,60.158787839999995,-3950.3608000000004,-2177.0277121599997,-6127.388512160001
29,519.3049,1395.6375,-1100.0593,0.0,0.0,0.0,-1245.3519,-15971.0041,613.3159,11823.8965,-2284.7057,60.65201304,-3964.2605000000003,-2224.05368696,-6188.31418696
30,533.8023,1437.0527,-1095.7823,0.0,0.0,0.0,-1273.8177,-16110.9613,617.5555,11836.3487,-2143.1409,59.76886248,-4055.802100000001,-2083.37203752,-6139.174137520001
31,515.2708,1397.0874,-1076.2791,0.0,0.0,0.0,-1269.4632,-16200.0892,602.439,11849.2987,-2110.4077,57.10470336,-4181.735600000002,-2053.3029966400004,-6235.038596640002
32,513.2345,1376.5851,-1084.115,0.0,0.0,0.0,-1252.3294,-16166.3677,598.3389,11824.7303,-2106.4043,60.26805864,-4189.9233,-2046.1362413600002,-6236.05954136
33,515.1055,1436.7055,-1084.7011,0.0,0.0,0.0,-1256.7931,-16127.6827,608.3119,11776.0652,-2121.6873,57.9960324,-4132.988800000001,-2063.6912676,-6196.6800676
34,519.4502,1449.8536,-1088.7127,0.0,0.0,0.0,-1243.7111,-16185.1099,598.7802,11879.8007,-2130.4629,58.354242479999996,-4069.6489999999994,-2072.10865752,-6141.75765752
35,495.6794,1419.7976,-1080.4461,0.0,0.0,0.0,-1248.8049,-16070.9763,591.4204,11804.0925,-2183.0465,61.799968799999995,-4089.2374,-2121.2465312,-6210.4839312
36,530.0757,1431.9176,-1084.2217,0.0,0.0,0.0,-1253.5939,-16118.6862,614.4736,11789.573,-2127.0728,60.9874704,-4090.4619000000002,-2066.0853296,-6156.5472296
37,497.1298,1409.1886,-1076.9703,0.0,0.0,0.0,-1273.3396,-16031.6001,617.1246,11789.6726,-2212.3103,58.31626032,-4068.7944000000007,-2153.9940396800002,-6222.788439680001
38,521.6495,1461.6884,-1071.455,0.0,0.0,0.0,-1261.1464,-16140.2436,599.6711,11734.4772,-2051.6332,57.98735856,-4155.3588,-1993.6458414400001,-6149.00464144
39,508.4567,1432.9035,-1091.3652,0.0,0.0,0.0,-1254.0016,-16207.6002,588.6974,11782.1657,-2040.3472,57.421509119999996,-4240.743700000001,-1982.9256908799998,-6223.669390880001
40,531.1538,1444.3731,-1100.2101,0.0,0.0,0.0,-1288.7768,-16138.1918,604.5212,11817.7292,-2120.8447,58.83501168,-4129.401400000001,-2062.00968832,-6191.41108832
41,524.7125,1379.7802,-1056.0202,0.0,0.0,0.0,-1262.1854,-16012.4938,614.7472,11833.6469,-2248.8136,61.455194639999995,-3977.8125999999993,-2187.35840536,-6165.171005359999
42,505.6492,1456.8893,-1085.643,0.0,0.0,0.0,-1274.6155,-16078.4149,595.2428,11730.9101,-2126.2341,58.12775568,-4149.982000000002,-2068.10634432,-6218.088344320002
43,514.955,1435.5008,-1123.6743,0.0,0.0,0.0,-1273.3631,-16034.4717,604.1619,11799.3271,-2165.793,58.1095944,-4077.5643,-2107.6834056000002,-6185.2477056
