POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,504.6636,1443.5145,-1083.5387,0.0,0.0,0.0,-1309.4807,-16112.9296,603.221,11792.6538,-1920.4729,39.3625,0.0,-4161.8961,-1881.1104,-6043.0064999999995
1,483.4326,1379.3916,-1053.7829,0.0,0.0,0.0,-1311.0369,-16167.6609,632.5376,11809.1231,-1934.5949,39.9494,0.0,-4227.995800000001,-1894.6455,-6122.6413
2,488.4623,1468.1756,-1103.8336,0.0,0.0,0.0,-1287.0603,-16044.4771,610.6057,11771.2397,-1993.7994,39.6625,0.0,-4096.887700000001,-1954.1369000000002,-6051.024600000001
3,545.003,1435.8106,-1101.6004,0.0,0.0,0.0,-1279.9314,-16237.9019,611.5766,11800.2447,-1861.6851,39.905,0.0,-4226.7988000000005,-1821.7801,-6048.5789
4,501.0687,1441.3034,-1107.4464,0.0,0.0,0.0,-1274.6316,-16151.0488,607.3669,11715.1117,-1898.8442,39.6227,0.0,-4268.276100000001,-1859.2215,-6127.497600000001
5,497.6059,1473.6603,-1098.0877,0.0,0.0,0.0,-1314.439,-16131.8107,614.6426,11739.8862,-1869.4206,39.0485,0.0,-4218.542399999998,-1830.3720999999998,-6048.914499999998
6,518.5465,1408.0177,-1104.5744,0.0,0.0,0.0,-1300.1351,-16290.3739,594.4712,11859.4523,-1840.0308,39.4223,0.0,-4314.595699999998,-1800.6085,-6115.204199999998
7,498.5232,1402.8171,-1103.5896,0.0,0.0,0.0,-1292.632,-16125.0056,598.6853,11783.0011,-1934.1485,40.1017,0.0,-4238.200500000003,-1894.0468,-6132.247300000003
8,512.7575,1413.1421,-1094.7445,0.0,0.0,0.0,-1267.1398,-16211.1497,613.8033,11758.2671,-1878.7496,39.8028,0.0,-4275.064,-1838.9468000000002,-6114.0108
9,491.913,1413.7252,-1119.6613,0.0,0.0,0.0,-1278.4416,-16218.0226,611.6988,11785.5366,-1844.2072,40.0229,0.0,-4313.251900000001,-1804.1843000000001,-6117.436200000001
10,521.2605,1442.1069,-1124.0713,0.0,0.0,0.0,-1310.7307,-16127.7591,611.1979,11781.7889,-1931.5467,40.0239,0.0,-4206.206900000001,-1891.5228000000002,-6097.729700000001
11,505.9545,1404.2418,-1108.3245,0.0,0.0,0.0,-1262.4988,-16106.8739,615.6137,11846.2818,-2032.7531,40.2685,0.0,-4105.605399999999,-1992.4846,-6098.089999999998
12,508.5312,1422.9671,-1076.6346,0.0,0.0,0.0,-1295.3011,-16257.7802,591.937,11836.6498,-1897.2037,40.2173,0.0,-4269.630800000001,-1856.9864,-6126.617200000001
13,498.662,1378.0696,-1130.0348,0.0,0.0,0.0,-1276.9532,-16297.1459,631.2028,11817.3916,-1811.4694,39.7676,0.0,-4378.807899999998,-1771.7018,-6150.509699999998
14,489.9985,1432.5311,-1082.2274,0.0,0.0,0.0,-1286.2846,-16170.5588,616.1536,11802.5534,-1923.8534,39.7522,0.0,-4197.834199999999,-1884.1012,-6081.935399999999
15,510.5257,1432.3217,-1115.2508,0.0,0.0,0.0,-1287.8834,-16190.8813,629.2615,11788.3948,-1900.7153,39.4847,0.0,-4233.511799999998,-1861.2306,-6094.742399999998
16,472.2639,1420.8996,-1073.9184,0.0,0.0,0.0,-1297.1265,-16375.0053,609.1407,11817.8975,-1771.9799,39.4291,0.0,-4425.848500000004,-1732.5508,-6158.399300000004
17,533.1,1431.9014,-1083.898,0.0,0.0,0.0,-1289.4556,-16160.1214,611.2675,11789.4172,-1907.8404,40.3467,0.0,-4167.788900000001,-1867.4937,-6035.282600000001
18,537.3434,1446.7171,-1069.3967,0.0,0.0,0.0,-1272.5241,-16136.0744,604.2868,11890.9337,-2024.1479,40.6474,0.0,-3998.7141999999985,-1983.5004999999999,-5982.214699999999
19,476.859,1411.5823,-1099.6327,0.0,0.0,0.0,-1295.4796,-16246.0029,618.6234,11852.8478,-1910.1973,39.8923,0.0,-4281.202699999998,-1870.305,-6151.507699999997
20,525.3207,1421.452,-1070.9816,0.0,0.0,0.0,-1308.3252,-16172.8612,600.5312,11765.4969,-1891.6921,39.3722,0.0,-4239.367200000001,-1852.3199,-6091.687100000001
