POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,527.3329,1384.5923,-1088.0203,0.0,0.0,0.0,-1277.0842,-16106.5867,599.6076,11810.1776,-1993.2932,1242.8571,-752.1019,-4149.980799999999,-1502.538,-5652.518799999999
1,467.357,1396.4901,-1069.4208,0.0,0.0,0.0,-1258.8176,-16066.3196,628.0104,11804.9691,-2034.305,1242.9232,-753.8678,-4097.731400000002,-1545.2496,-5642.9810000000025
2,539.1977,1428.5707,-1116.7599,0.0,0.0,0.0,-1247.2212,-16066.2438,611.8745,11785.881,-1970.4031,1249.5382,-763.0761,-4064.701000000001,-1483.941,-5548.642000000001
3,526.0386,1428.9716,-1104.5923,0.0,0.0,0.0,-1260.4652,-16173.9705,604.9311,11789.0601,-1908.4949,1233.8749,-749.9987,-4190.026599999997,-1424.6187,-5614.645299999997
4,514.0963,1435.842,-1108.3193,0.0,0.0,0.0,-1263.1314,-16050.4554,594.3149,11756.1782,-1983.9912,1241.123,-748.8411,-4121.4747000000025,-1491.7093,-5613.184000000003
5,522.7862,1409.6963,-1111.5574,0.0,0.0,0.0,-1270.0979,-16035.2195,612.1463,11827.3598,-2035.166,1241.1419,-751.8461,-4044.886199999999,-1545.8701999999998,-5590.756399999999
6,490.7439,1377.6121,-1097.4736,0.0,0.0,0.0,-1252.3491,-16173.1753,600.9113,11802.0591,-1940.2443,1243.632,-757.5857,-4251.6716,-1454.1979999999999,-5705.8696
7,513.4559,1326.018,-1102.0375,0.0,0.0,0.0,-1266.1692,-16063.965,602.7754,11779.1044,-1991.5122,1246.9111,-757.4072,-4210.818000000001,-1502.0083,-5712.826300000001
8,493.5926,1438.6508,-1096.0379,0.0,0.0,0.0,-1292.3305,-16149.1224,614.1682,11815.9803,-1985.6515,1225.7101,-731.712,-4175.098900000001,-1491.6534,-5666.7523
9,514.8941,1380.6759,-1111.1837,0.0,0.0,0.0,-1261.0168,-16163.5639,608.3024,11798.3953,-1959.0954,1243.528,-764.3164,-4233.4967,-1479.8838,-5713.380499999999
10,494.2164,1435.1707,-1109.9099,0.0,0.0,0.0,-1259.7733,-16134.7315,583.8851,11720.6337,-1876.2774,1247.5348,-754.311,-4270.508800000001,-1383.0536000000002,-5653.562400000001
11,490.6046,1447.6351,-1116.4921,0.0,0.0,0.0,-1250.7361,-16194.3775,616.8959,11799.8318,-1905.3484,1241.879,-758.4161,-4206.638300000002,-1421.8855000000003,-5628.523800000003
12,494.1238,1421.8212,-1110.856,0.0,0.0,0.0,-1261.1097,-16179.3105,615.815,11811.3897,-1935.5379,1234.3237,-744.6222,-4208.1265,-1445.8364000000001,-5653.9629
13,525.4882,1456.7941,-1098.915,0.0,0.0,0.0,-1281.3893,-16154.1633,614.2067,11862.6105,-1988.8089,1240.5229,-754.7477,-4075.3680999999997,-1503.0337,-5578.4018
14,529.1552,1413.3385,-1072.103,0.0,0.0,0.0,-1311.0902,-16163.8626,601.3431,11851.5183,-1981.4342,1242.3279,-754.2612,-4151.700699999999,-1493.3674999999998,-5645.068199999999
15,504.4506,1449.9735,-1087.3914,0.0,0.0,0.0,-1273.5687,-16136.9318,603.0444,11789.5686,-1949.6265,1240.7308,-750.9759,-4150.854799999997,-1459.8716,-5610.726399999998
16,510.1935,1432.2947,-1072.9737,0.0,0.0,0.0,-1250.2737,-16150.3228,611.3098,11884.5736,-2025.7251,1233.2984,-743.5991,-4035.1985999999997,-1536.0258000000003,-5571.2244
17,502.4491,1344.1956,-1120.6273,0.0,0.0,0.0,-1253.2253,-16136.3131,613.0455,11818.9257,-1960.7337,1240.849,-758.0435,-4231.549800000001,-1477.9282,-5709.478
18,499.9815,1417.7735,-1103.7742,0.0,0.0,0.0,-1257.6605,-16096.5164,613.181,11796.0226,-2018.3763,1238.2313,-753.3691,-4130.9925,-1533.5140999999999,-5664.506600000001
19,458.1868,1453.9871,-1110.6342,0.0,0.0,0.0,-1270.0037,-16178.6313,594.9496,11835.6085,-1949.2263,1231.7533,-746.0831,-4216.537200000001,-1463.5560999999998,-5680.0933
20,513.1285,1422.9197,-1122.6719,0.0,0.0,0.0,-1258.3371,-16112.1621,608.2109,11804.5601,-1990.1769,1240.797,-748.8888,-4144.351899999998,-1498.2686999999999,-5642.6205999999975
21,499.1952,1404.6031,-1100.6224,0.0,0.0,0.0,-1265.2074,-16122.7796,616.9674,11789.892,-1952.5066,1246.8544,-754.7128,-4177.9517,-1460.365,-5638.316699999999
22,523.2638,1436.2248,-1104.7396,0.0,0.0,0.0,-1253.4458,-16060.8014,609.8956,11837.554,-2121.7944,1253.9608,-767.1707,-4012.048600000002,-1635.0043,-5647.052900000002
23,473.6332,1418.5285,-1075.8493,0.0,0.0,0.0,-1265.2182,-16057.1555,613.9345,11785.2175,-2044.206,1234.2292,-751.8045,-4106.909300000001,-1561.7812999999999,-5668.690600000002
24,511.7578,1461.2082,-1071.8219,0.0,0.0,0.0,-1258.2955,-16063.2988,595.215,11799.2893,-2051.6684,1250.4265,-765.6634,-4025.945899999999,-1566.9053,-5592.8512
25,497.3172,1432.4962,-1098.5804,0.0,0.0,0.0,-1278.78,-16133.7574,609.4174,11804.7764,-1967.4067,1240.8017,-755.8624,-4167.1106,-1482.4674,-5649.5779999999995
26,512.1678,1369.9879,-1094.5584,0.0,0.0,0.0,-1245.2548,-16051.2518,607.0859,11858.902,-2077.5944,1240.745,-750.6548,-4042.9213999999993,-1587.5042,-5630.4256
27,533.5894,1370.52,-1114.1733,0.0,0.0,0.0,-1294.4019,-16052.9578,614.8212,11812.7069,-2039.827,1231.0399,-741.575,-4129.895500000002,-1550.3621,-5680.257600000003
28,515.9315,1424.0948,-1076.5662,0.0,0.0,0.0,-1253.1162,-16077.3685,599.2384,11828.6964,-2027.4354,1239.1527,-748.2372,-4039.0897999999997,-1536.5199,-5575.609699999999
29,492.5771,1428.0563,-1090.0241,0.0,0.0,0.0,-1277.5337,-16158.6804,608.4354,11863.4086,-2023.2458,1228.03,-737.8029,-4133.7608,-1533.0187,-5666.7795
30,532.5864,1416.6549,-1085.0034,0.0,0.0,0.0,-1262.0676,-16196.0071,611.9745,11846.7641,-1974.7068,1230.1279,-742.5698,-4135.0982,-1487.1487,-5622.246900000001
31,490.6374,1412.2287,-1072.852,0.0,0.0,0.0,-1296.7603,-16167.9827,609.9097,11850.6405,-2010.2576,1233.1425,-745.881,-4174.178700000002,-1522.9960999999998,-5697.1748000000025
32,491.1806,1434.5013,-1064.0431,0.0,0.0,0.0,-1247.4885,-16200.493,614.6405,11816.6582,-1993.4431,1233.9268,-744.4143,-4155.044000000002,-1503.9306000000001,-5658.974600000002
33,525.8801,1440.0821,-1076.5725,0.0,0.0,0.0,-1286.6516,-16136.5592,599.1293,11822.7388,-2002.8396,1238.7747,-748.2937,-4111.953000000001,-1512.3586,-5624.311600000002
34,547.346,1444.5321,-1102.5643,0.0,0.0,0.0,-1265.5807,-16210.445,594.02,11809.6489,-1944.2048,1223.0452,-727.7402,-4183.042999999998,-1448.8998,-5631.942799999997
35,493.6624,1452.7043,-1108.1243,0.0,0.0,0.0,-1253.0775,-16111.1862,591.8015,11783.1856,-1991.3689,1229.1877,-736.6606,-4151.0342,-1498.8418000000001,-5649.875999999999
36,511.7397,1445.7978,-1105.6964,0.0,0.0,0.0,-1284.1535,-16207.2246,596.8734,11790.9246,-1926.9243,1228.3513,-742.6163,-4251.739,-1441.1893,-5692.928299999999
37,486.0809,1395.7409,-1083.3036,0.0,0.0,0.0,-1246.195,-16232.0289,617.5103,11828.6939,-1992.1739,1236.4736,-755.2381,-4233.5014999999985,-1510.9384,-5744.439899999998
38,511.4706,1450.3859,-1111.594,0.0,0.0,0.0,-1261.1927,-16244.91,604.2717,11746.3174,-1869.8613,1227.8221,-741.1307,-4305.2510999999995,-1383.1698999999999,-5688.420999999999
39,483.1997,1396.9372,-1111.1398,0.0,0.0,0.0,-1263.5438,-16101.169,615.6019,11868.2439,-2085.7958,1235.8216,-743.2648,-4111.8699000000015,-1593.239,-5705.108900000001
40,535.3949,1442.4807,-1096.5608,0.0,0.0,0.0,-1277.8171,-16111.4771,603.2353,11809.229,-2025.6763,1235.9444,-744.2937,-4095.5151000000005,-1534.0256,-5629.5407000000005
41,502.9475,1405.5683,-1072.2731,0.0,0.0,0.0,-1237.6717,-16258.2304,629.2869,11858.8712,-1955.4353,1230.9406,-736.9813,-4171.501300000002,-1461.476,-5632.977300000002
42,532.6015,1409.2366,-1100.6276,0.0,0.0,0.0,-1252.4843,-16188.2947,617.9621,11818.3088,-1944.1032,1243.0886,-756.1256,-4163.2976,-1457.1401999999998,-5620.4378
43,510.6466,1438.9397,-1106.7632,0.0,0.0,0.0,-1278.6437,-16226.8338,600.9811,11829.751,-1913.7477,1238.8267,-750.4785,-4231.922299999998,-1425.3995,-5657.321799999999
44,483.1883,1396.6642,-1117.8345,0.0,0.0,0.0,-1242.0372,-16084.7232,599.1095,11869.9959,-2085.0773,1242.361,-748.7238,-4095.636999999999,-1591.4400999999998,-5687.077099999999
45,526.7415,1509.0341,-1095.108,0.0,0.0,0.0,-1269.4747,-16206.5216,605.4049,11747.1623,-1884.2493,1228.6585,-738.7243,-4182.761499999999,-1394.3150999999998,-5577.0765999999985
46,532.8373,1430.7095,-1081.5533,0.0,0.0,0.0,-1246.0896,-16142.4786,613.6779,11841.0454,-2030.2418,1234.3757,-744.6136,-4051.8513999999996,-1540.4796999999999,-5592.3310999999985
47,466.9772,1445.1103,-1093.5895,0.0,0.0,0.0,-1288.9051,-16091.3639,603.886,11786.5812,-2009.2244,1233.3126,-741.9923,-4171.3038,-1517.9041000000002,-5689.207899999999
48,501.9243,1408.7945,-1114.9892,0.0,0.0,0.0,-1266.8716,-16086.0357,607.6399,11839.9599,-2084.0022,1242.257,-753.3687,-4109.5779,-1595.1138999999998,-5704.6918
49,471.47,1389.3155,-1085.579,0.0,0.0,0.0,-1280.1613,-16116.1563,625.2949,11808.4209,-1966.8401,1235.453,-746.8232,-4187.395300000002,-1478.2103,-5665.605600000002
50,530.6713,1421.0392,-1067.0487,0.0,0.0,0.0,-1247.3939,-15913.3498,602.6586,11769.9408,-2143.3438,1234.508,-743.8325,-3903.4825,-1652.6683,-5556.150800000001
51,526.0627,1391.7705,-1141.1033,0.0,0.0,0.0,-1239.2121,-16114.7967,594.0979,11827.0125,-2031.0021,1237.6549,-741.7114,-4156.1685,-1535.0585999999998,-5691.2271
52,526.4004,1413.2308,-1109.2061,0.0,0.0,0.0,-1275.8047,-16112.4573,611.7507,11821.2855,-2010.376,1237.2107,-742.2722,-4124.800699999998,-1515.4375,-5640.238199999999
53,524.286,1393.122,-1092.0248,0.0,0.0,0.0,-1273.4269,-16233.6062,610.8649,11831.0098,-1947.0464,1228.786,-741.222,-4239.7752,-1459.4823999999999,-5699.2576
54,506.4744,1383.7908,-1108.6092,0.0,0.0,0.0,-1263.4693,-16121.743,606.7037,11826.5021,-1990.6007,1233.8134,-741.979,-4170.3505000000005,-1498.7663,-5669.116800000001
55,491.3184,1403.7666,-1080.2063,0.0,0.0,0.0,-1277.0672,-16066.2474,617.72,11708.475,-1935.0736,1235.7507,-741.6649,-4202.240900000001,-1440.9877999999999,-5643.2287
56,514.5207,1454.1354,-1086.3781,0.0,0.0,0.0,-1295.3907,-16199.3458,606.4841,11746.405,-1824.4824,1230.161,-731.6145,-4259.5694,-1325.9359,-5585.5053
57,516.2544,1430.7111,-1086.9679,0.0,0.0,0.0,-1237.9572,-16083.5668,614.7333,11771.1111,-2048.4841,1236.072,-748.9374,-4075.6820000000025,-1561.3495000000003,-5637.031500000002
58,531.1571,1406.8278,-1081.8511,0.0,0.0,0.0,-1259.4935,-16162.87,611.9844,11793.7122,-1965.5082,1239.181,-753.4035,-4160.533100000001,-1479.7307,-5640.263800000001
59,510.5668,1396.6923,-1078.8278,0.0,0.0,0.0,-1267.9716,-16055.4844,596.0106,11817.7394,-2078.8581,1248.0168,-755.5175,-4081.274699999998,-1586.3588,-5667.633499999997
60,546.2036,1397.8616,-1096.2674,0.0,0.0,0.0,-1245.3954,-16125.9486,574.2773,11832.6297,-2031.5969,1243.0886,-744.8945,-4116.639200000001,-1533.4027999999998,-5650.042000000002
61,521.9499,1403.5284,-1098.5926,0.0,0.0,0.0,-1238.7958,-16110.2124,600.9917,11822.7747,-2074.0577,1240.1638,-756.372,-4098.356100000001,-1590.2658999999999,-5688.622
62,478.0783,1443.6062,-1063.6175,0.0,0.0,0.0,-1295.9274,-16072.8357,612.2829,11858.0388,-2041.9171,1227.3874,-736.7548,-4040.3744000000006,-1551.2844999999998,-5591.658899999999
63,523.6807,1385.7077,-1102.344,0.0,0.0,0.0,-1278.677,-16112.1438,619.1115,11846.0743,-2008.6236,1227.2315,-732.1207,-4118.5905999999995,-1513.5128,-5632.1034
64,529.4754,1444.3981,-1090.1256,0.0,0.0,0.0,-1280.2274,-16136.427,604.7249,11868.744,-2010.1637,1237.48,-740.6155,-4059.437600000001,-1513.2992,-5572.736800000001
65,520.8062,1442.4099,-1039.1044,0.0,0.0,0.0,-1272.5324,-16218.4351,607.7134,11796.028,-1879.7773,1229.5326,-729.3266,-4163.1144,-1379.5713,-5542.6857
66,499.2208,1384.8618,-1089.7574,0.0,0.0,0.0,-1287.7142,-16266.4387,599.6806,11850.9476,-1890.6947,1226.2109,-730.8061,-4309.199500000002,-1395.2899,-5704.489400000002
67,519.8607,1409.6497,-1094.8755,0.0,0.0,0.0,-1263.2876,-16126.7684,602.5609,11818.2133,-1980.3015,1228.3939,-728.715,-4134.6469,-1480.6226000000001,-5615.269499999999
68,503.5213,1426.0893,-1075.7437,0.0,0.0,0.0,-1276.3161,-16182.9881,611.8842,11847.4282,-1942.9346,1227.0425,-730.7623,-4146.124900000001,-1446.6544,-5592.779300000002
69,523.1813,1445.9373,-1090.6985,0.0,0.0,0.0,-1235.3672,-16188.0799,602.2407,11721.02,-1866.3704,1222.8845,-729.8808,-4221.766300000001,-1373.3667,-5595.133000000001
