GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
0,517.6072,1377.5806,-1086.4264,0.0,0.0,0.0,-1275.036,-15894.7598,594.5411,11545.3508,-1996.6495,58.8394404,37.1548,-4221.1425,-1937.8100596,-6121.797759599999
1,464.9384,1386.7205,-1066.5547,0.0,0.0,0.0,-1256.4844,-15829.5816,623.9721,11537.7061,-2034.7441,59.73340464,27.8447,-4139.283599999999,-1975.0106953599998,-6086.449595359999
2,535.5697,1419.9069,-1112.2941,0.0,0.0,0.0,-1245.1791,-15829.5346,606.7165,11523.4732,-1998.7313,60.00863688,27.9451,-4101.3415,-1938.7226631199999,-6012.11906312
3,521.5729,1421.0931,-1102.6103,0.0,0.0,0.0,-1257.9958,-15947.3662,601.5494,11524.5272,-1937.1095,57.82873392,37.5396,-4239.2297,-1879.28076608,-6080.970866080001
4,508.5592,1428.2744,-1104.9675,0.0,0.0,0.0,-1260.8441,-15829.3505,591.1248,11487.6065,-2011.6728,58.310383679999994,45.9717,-4179.5972,-1953.36241632,-6086.98791632
5,519.142,1401.5227,-1109.8781,0.0,0.0,0.0,-1267.7185,-15808.4501,608.3682,11563.2175,-2071.4075,58.12810632,29.1158,-4093.796299999998,-2013.2793936799999,-6077.959893679998
6,487.2615,1368.2545,-1096.5468,0.0,0.0,0.0,-1249.886,-15940.5682,596.071,11535.7531,-1949.5741,59.129295840000005,31.9365,-4299.660900000001,-1890.44480416,-6158.169204160001
7,510.3054,1319.0414,-1107.4005,0.0,0.0,0.0,-1263.7647,-15855.8154,598.9428,11514.5766,-1998.912,60.103470959999996,39.2811,-4284.114399999999,-1938.80852904,-6183.641829039999
8,487.449,1429.7451,-1093.3056,0.0,0.0,0.0,-1289.976,-15937.7696,609.4912,11548.0559,-1995.394,56.45932776,45.8622,-4246.310000000001,-1938.93467224,-6139.382472240002
9,507.9682,1370.7321,-1107.9914,0.0,0.0,0.0,-1258.5231,-15954.1504,603.8131,11536.8629,-1951.1957,59.18702111999999,39.5517,-4301.2886,-1892.00867888,-6153.74557888
10,488.875,1426.5956,-1106.5794,0.0,0.0,0.0,-1257.917,-15920.0188,579.5553,11458.7443,-1910.7337,59.28216911999999,44.2804,-4330.744999999999,-1851.45153088,-6137.916130879999
11,486.4009,1440.0791,-1114.0125,0.0,0.0,0.0,-1248.6163,-15985.6432,612.9771,11538.0105,-1911.4835,59.42583936,46.8877,-4270.804400000001,-1852.05766064,-6075.974360640001
12,490.8741,1411.5155,-1108.1744,0.0,0.0,0.0,-1258.492,-15964.0193,611.2175,11545.1127,-1947.9566,58.095364319999995,40.2732,-4271.965899999999,-1889.86123568,-6121.553935679999
13,516.6759,1442.438,-1098.5837,0.0,0.0,0.0,-1280.3265,-15918.9657,609.7884,11602.7921,-2005.0987,59.27477111999999,43.923,-4126.181500000001,-1945.82392888,-6028.082428880001
14,521.5077,1405.6247,-1071.1833,0.0,0.0,0.0,-1308.4951,-15948.784,598.324,11586.4525,-1989.2957,58.60411848,54.3246,-4216.553499999998,-1930.69158152,-6092.920481519998
15,501.1816,1442.2852,-1087.0123,0.0,0.0,0.0,-1271.1962,-15915.2065,598.934,11526.7475,-1978.2426,58.9860756,34.9537,-4204.266700000002,-1919.2565244,-6088.569524400002
16,505.7409,1424.4779,-1069.0055,0.0,0.0,0.0,-1247.7837,-15943.8243,607.4054,11625.7255,-2043.225,58.503184559999994,45.0084,-4097.263800000001,-1984.72181544,-6036.977215440002
17,497.6706,1336.6331,-1117.192,0.0,0.0,0.0,-1250.5992,-15924.1419,609.3625,11557.2587,-1990.9195,58.733775359999996,44.7473,-4291.008200000002,-1932.18572464,-6178.446624640002
18,496.8183,1407.0762,-1100.833,0.0,0.0,0.0,-1255.1904,-15890.9102,609.1172,11531.1536,-2001.1471,59.292176399999995,47.8377,-4202.7683,-1941.8549236,-6096.7855236
19,455.048,1443.874,-1109.5036,0.0,0.0,0.0,-1268.765,-15968.174,590.5961,11571.1894,-1959.1648,56.86201008,49.247,-4285.7351,-1902.3027899200001,-6138.79088992
20,506.9571,1413.4831,-1120.997,0.0,0.0,0.0,-1256.0974,-15904.3674,603.3936,11545.6807,-2007.8526,58.94375616,51.2606,-4211.9473,-1948.90884384,-6109.595543840001
21,494.3483,1395.8327,-1097.579,0.0,0.0,0.0,-1262.8264,-15912.6775,612.9803,11528.1197,-1964.8147,58.608374399999995,40.2804,-4241.8019,-1906.2063256,-6107.727825600001
22,518.445,1427.8835,-1102.0246,0.0,0.0,0.0,-1250.9587,-15850.2321,606.1079,11574.6678,-2126.9371,60.97698432000001,39.8213,-4076.1111999999994,-2065.96011568,-6102.25001568
23,466.5294,1409.3054,-1070.6015,0.0,0.0,0.0,-1262.9355,-15851.6788,610.0333,11523.4798,-2022.58,58.463806319999996,48.6206,-4175.867899999999,-1964.11619368,-6091.363493679999
24,506.6823,1445.7403,-1068.0999,0.0,0.0,0.0,-1256.9626,-15851.5084,590.7201,11539.1136,-2051.638,60.40107071999999,53.2583,-4094.3145999999997,-1991.23692928,-6032.29322928
25,493.0449,1420.3889,-1095.5062,0.0,0.0,0.0,-1276.6167,-15923.7532,605.6664,11542.8683,-1956.5453,59.73735888,48.3678,-4233.907599999999,-1896.80794112,-6082.347741119998
26,507.3408,1361.9548,-1091.0004,0.0,0.0,0.0,-1243.2189,-15844.7678,603.2178,11594.1909,-2072.7203,58.92093936,47.3375,-4112.282799999999,-2013.79936064,-6078.744660639999
27,529.111,1365.7805,-1110.929,0.0,0.0,0.0,-1291.9044,-15845.2676,611.1202,11550.8378,-2048.0329,58.019855039999996,40.9302,-4191.2515,-1990.0130449600001,-6140.334344960001
28,509.1013,1412.2778,-1074.9369,0.0,0.0,0.0,-1251.5108,-15865.8825,594.6368,11566.1162,-2041.5314,59.00852736,49.4797,-4110.1981,-1982.52287264,-6043.24127264
29,485.9558,1418.8653,-1088.3429,0.0,0.0,0.0,-1275.4433,-15942.6187,603.0598,11599.7242,-2028.1059,57.4685892,46.0808,-4198.799800000001,-1970.6373108,-6123.356310800002
30,525.8034,1410.1341,-1082.4751,0.0,0.0,0.0,-1259.5795,-15992.4579,607.6878,11586.4659,-1961.5068,58.502177999999994,45.7531,-4204.421300000002,-1903.0046220000002,-6061.672822000002
