GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,503.919,1396.4145,-1099.9318,0.0,0.0,0.0,-1310.7486,-16075.821,599.9579,11761.7172,-2090.5579,54.68533128,-4224.492800000002,-2035.87256872,-6260.365368720001
1,481.0751,1503.5059,-1127.302,0.0,0.0,0.0,-1296.8729,-16170.6842,628.7948,11777.7206,-2032.5022,54.34918488,-4203.762699999999,-1978.15301512,-6181.915715119999
2,486.8274,1416.1896,-1076.8586,0.0,0.0,0.0,-1292.754,-16179.3131,621.4577,11736.9234,-1960.9308,54.31225104,-4287.527599999999,-1906.61854896,-6194.14614896
3,506.8378,1402.7584,-1100.315,0.0,0.0,0.0,-1313.4273,-16019.2302,593.083,11825.4815,-2181.3929,55.56774168,-4104.8117999999995,-2125.82515832,-6230.636958319999
4,502.6106,1412.5955,-1114.5723,0.0,0.0,0.0,-1254.5327,-16256.7128,608.8104,11778.9309,-1951.4559,55.20872232,-4322.870400000002,-1896.2471776799998,-6219.117577680002
5,510.8965,1436.7046,-1102.8648,0.0,0.0,0.0,-1289.6551,-16082.3312,611.4797,11728.5179,-2086.9899,57.62641752,-4187.252399999999,-2029.3634824800001,-6216.6158824799995
6,492.6405,1391.5702,-1083.3562,0.0,0.0,0.0,-1272.0318,-16106.5739,624.4633,11812.9991,-2108.2237,58.435848,-4140.288799999998,-2049.787852,-6190.076651999999
7,503.44,1442.5449,-1115.3823,0.0,0.0,0.0,-1289.4158,-16199.1579,625.3511,11812.5695,-2040.4726,56.83599216,-4220.050499999999,-1983.6366078400001,-6203.687107839999
8,495.1336,1411.0736,-1075.4348,0.0,0.0,0.0,-1244.1422,-16113.2289,615.1997,11734.9542,-2062.0533,59.3294868,-4176.444799999999,-2002.7238132,-6179.168613199999
9,509.2028,1452.3321,-1094.9182,0.0,0.0,0.0,-1260.2214,-16244.4386,625.5623,11807.117,-2006.4275,57.18534552,-4205.363999999998,-1949.24215448,-6154.606154479998
10,500.5121,1405.7411,-1106.7918,0.0,0.0,0.0,-1270.5538,-16252.6645,619.1807,11809.1772,-1976.4164,56.653735680000004,-4295.398999999999,-1919.76266432,-6215.1616643199995
11,502.1259,1459.5182,-1107.2012,0.0,0.0,0.0,-1293.0117,-16037.4542,600.0144,11721.4438,-2119.8592,56.3011452,-4154.564800000002,-2063.5580548,-6218.122854800002
12,486.3209,1462.4081,-1086.7233,0.0,0.0,0.0,-1291.9374,-16171.581,595.7302,11741.8555,-2008.7833,56.51565264,-4263.927,-1952.26764736,-6216.19464736
13,507.3145,1395.7202,-1071.6544,0.0,0.0,0.0,-1293.3072,-16269.9839,631.8839,11800.8467,-1966.9981,56.54925,-4299.180199999997,-1910.44885,-6209.629049999997
14,486.7008,1396.1193,-1095.3865,0.0,0.0,0.0,-1271.3028,-16015.8382,612.8652,11765.3996,-2170.7328,57.28829112,-4121.4425999999985,-2113.4445088800003,-6234.887108879998
15,517.7162,1444.118,-1067.8219,0.0,0.0,0.0,-1278.9946,-16221.4254,600.0588,11788.8192,-2010.2702,55.6791948,-4217.529699999999,-1954.5910052,-6172.120705199999
16,487.0147,1383.6499,-1105.6271,0.0,0.0,0.0,-1272.5558,-16296.0615,624.865,11914.4083,-2044.2899,57.73434984,-4264.306500000001,-1986.55555016,-6250.862050160001
17,502.3423,1416.3294,-1087.1135,0.0,0.0,0.0,-1282.5872,-16394.6652,619.7919,11804.5195,-1882.3097,55.7534808,-4421.382799999998,-1826.5562192,-6247.939019199997
18,475.0953,1389.0461,-1098.5013,0.0,0.0,0.0,-1314.4244,-16311.8423,610.4108,11821.5187,-1901.7297,54.9925848,-4428.697099999999,-1846.7371152,-6275.434215199999
19,512.7346,1421.1357,-1122.5377,0.0,0.0,0.0,-1288.7683,-16072.7708,597.297,11801.0108,-2142.3701,56.0007468,-4151.8987,-2086.3693532,-6238.2680531999995
20,524.7256,1400.2846,-1096.5004,0.0,0.0,0.0,-1297.4451,-16216.2769,600.0149,11724.2702,-1945.0537,56.973417839999996,-4360.927100000001,-1888.08028216,-6249.007382160001
21,497.6517,1434.2049,-1110.2483,0.0,0.0,0.0,-1295.6167,-16349.2376,609.8223,11800.9505,-1876.7273,54.72734472,-4412.4731999999985,-1821.99995528,-6234.473155279999
22,511.8691,1431.4064,-1101.1662,0.0,0.0,0.0,-1271.5834,-16271.8466,629.9296,11827.5735,-1991.696,55.5190668,-4243.8176,-1936.1769332,-6179.994533200001
23,500.8729,1437.6432,-1084.0713,0.0,0.0,0.0,-1265.9293,-16283.2458,612.9495,11866.7903,-2013.4167,56.58584184,-4214.990499999998,-1956.83085816,-6171.8213581599975
24,495.7539,1396.9738,-1089.6912,0.0,0.0,0.0,-1279.6372,-16197.7983,607.7487,11784.6914,-2027.127,56.650088159999996,-4281.958900000001,-1970.47691184,-6252.435811840001
25,483.2212,1332.2174,-1093.5898,0.0,0.0,0.0,-1293.7654,-16090.2132,629.6524,11775.1075,-2091.6019,54.94829832,-4257.3699,-2036.65360168,-6294.02350168
26,539.6835,1402.7773,-1092.6648,0.0,0.0,0.0,-1280.9813,-16280.5792,615.8014,11855.3118,-2016.4057,55.34424072,-4240.651300000001,-1961.06145928,-6201.712759280002
27,506.0091,1437.0179,-1130.5416,0.0,0.0,0.0,-1297.8934,-16131.8689,598.6862,11791.7526,-2067.6507,56.338030079999996,-4226.838100000001,-2011.3126699200002,-6238.150769920001
28,500.1137,1428.198,-1086.8014,0.0,0.0,0.0,-1294.5577,-16140.435,612.6338,11842.814,-2125.18,57.80714112,-4138.034600000001,-2067.37285888,-6205.407458880001
29,489.347,1423.5532,-1114.2942,0.0,0.0,0.0,-1296.9005,-16128.0816,607.2045,11792.2623,-2099.9248,54.43815888,-4226.909300000001,-2045.4866411199998,-6272.395941120001
30,460.8338,1398.1926,-1103.1251,0.0,0.0,0.0,-1285.9923,-16121.1503,601.7144,11772.7947,-2049.1707,56.26667808,-4276.732199999997,-1992.90402192,-6269.636221919997
31,488.249,1427.5632,-1076.2135,0.0,0.0,0.0,-1302.4646,-16034.1286,619.0929,11799.4787,-2177.4108,55.7408016,-4078.4229000000014,-2121.6699984,-6200.092898400001
32,518.0981,1397.1366,-1068.6296,0.0,0.0,0.0,-1285.9937,-16171.8745,608.6819,11843.7366,-2154.9311,56.64584376,-4158.8446,-2098.28525624,-6257.12985624
33,499.9731,1448.8794,-1099.759,0.0,0.0,0.0,-1291.0691,-16132.5459,611.0588,11817.4508,-2114.3277,56.30720039999999,-4146.011899999998,-2058.0204995999998,-6204.032399599998
34,489.8171,1433.0053,-1107.5486,0.0,0.0,0.0,-1274.2283,-16066.1035,618.3862,11825.8875,-2155.4992,57.92080104,-4080.7842999999993,-2097.5783989600004,-6178.36269896
35,515.3015,1447.4393,-1092.6455,0.0,0.0,0.0,-1302.8578,-16209.9843,600.5511,11824.1917,-2056.6309,57.59197776,-4218.004000000001,-1999.0389222400001,-6217.042922240001
